item_id,title,author,fs_is_favorite,fs_highlight_entries_with_text,li_exists,li_item_type,li_is_favorite,cnt_total,cnt_hi_text_rows,ing_files_total,ing_files_completed,index_state,file_reports,external_meta,external_edges,keep_reasons,delete_candidate
1763947190449ue0if41zi,Acımak Yok,Alfred Döblin,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947196647zrkra26e8,Altıncı Koğuş,Anton Çehov,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947203329gwqo370se,Amok Koşucusu,Stefan Zweig,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947208518pwwl4jhi3,Anadolu'da İslamiyet,Mehmet Fuat Köprülü,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947211995i1hcxm9to,Anahtar Sözcükler,Raymond Williams,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947193339z0ivhpwri,Asiye Kabahat’ten Şarkılar Dinlediniz,Karin Karakasli,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947194450lyd8fs6a2,Aydınlanma Nedir?,John White,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
17639471911307sx5v17fv,Aydınlanma Rüyası: Modern Felsefenin Yükselişi,Anthony Kenny,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
17639472000336rgbv16vq,Aylak Adam,Yusuf Atilgan,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947207959d5f71pe0r,Aşk Olmayan,Bejan Matur,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947191021ryoq3elgu,Balıkçılar,Dmitri Vasilyeviç Grigoroviç,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
176394720170885bmpf3i2,Başkaldıran İnsan,Albert Camus,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947209070bsq8h2pkm,Behçet Necatigil/ Şiirler Bütün Yapıtları,Nurullah Çetin,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
176394719372281o3rbans,Boğulmamak İçin,George Orwell,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947193629gwyjdwo0z,Burma Günleri,George Orwell,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947212177duwqq9wmq,Bülbülü Öldürmek,Mazhar Bagli,False,0,1,BOOK,0,1,0,0,0,1,0,1,5,,True
17639472093438obmjzbv0,Cehennemdeki Üniversiteliler,A. M. Celâl Sengör,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947209980rg8q2qwru,Cehenneme Övgü - Gündelik Hayatta Totalitarizm,"Gündüz Vassaf, Zehra Gencosman, Ömer Madra",False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
176394720842687iue60mp,Cennetin Dibi,Gunduz Vassaf,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947192611jhtlph1sy,Dilin Kökeni Üzerine,Ernest Renan,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947191401rzqfpo6zp,Dolayımsız Erotik veya Müzikal Erotik Evreler,Søren Kierkegaard,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
17639471900804bdo9kf0s,Dorian Gray'in Portresi,Oscar Wilde,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947199657rteqtktgp,Doğunun Limanları,Amin Maalouf,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947190268v9mrgusew,Dublinliler,James Joyce,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947208152hmnsp1lku,Dünya Ağrısı,Ayfer Tunç,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947194359mtnxc3nf3,Dünya Edebiyatının Ekolojisi: İlkçağlardan Günümüze,Alexander Beecroft,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
17639471903613ugs97s79,Faydacılık,John Stuart Mill,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947200155lp1qu5v5k,Gazap Üzümleri,John Steinbeck,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947191774zs3s835k9,"Goriot Baba (Ciltli, İplik Dikişli)",Honore de Balzac,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947189886hb6zy47ki,Gölgelerin Peşinde: 50 Portre,Taha Kilinc,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947191956t2h9e0kyj,Görme Biçimleri,John Berger,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947199414ek925k9ao,Görmek,José Saramago,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
1763947203869ro91y2kqh,Hasretinden Prangalar Eskittim,Ahmed Arif,False,0,1,BOOK,0,1,0,0,0,1,0,0,0,,True
